FID;GEBIED;GEBOMSCH;LOCATIE;LOCOMSCH;X_WGS;Y_WGS
897;VEERSMR;Veerse meer;VEERSMCTM;Veerse Meer centrum (west) (deelgebied;3.691944;51.536944
898;VEERSMR;Veerse meer;VEERSMMDN;Veerse Meer midden (oost) (deelgebied);3.766667;51.546944
899;VEERSMR;Veerse meer;VEERSMOT;Veerse Meer oost (deelgebied);3.841389;51.548056
900;VEERSMR;Veerse meer;VEERSMWT;Veerse Meer west (deelgebied);3.657778;51.568056
5397;VEERSMR;Veerse meer;ADAPDSR;Adriaanpolder schor;3.804272;51.551237
5398;VEERSMR;Veerse meer;GEERSDHVN;Geersdijk haven;3.763013;51.555616
5399;VEERSMR;Veerse meer;GEERSDK;Geersdijk;3.762340;51.554258
5400;VEERSMR;Veerse meer;GOUDPT;Goudplaat;3.704102;51.530056
5401;VEERSMR;Veerse meer;HARVTR;Haringvreter;3.689721;51.547651
5402;VEERSMR;Veerse meer;KAMPLGPT;Kamperland, Goudplaat;3.703971;51.530504
5403;VEERSMR;Veerse meer;KAMPLRTPT;Kamperland, Ruiterplaat;3.656928;51.572615
5404;VEERSMR;Veerse meer;KAMPLSFLWBSD;Kamperland Sint Felixweg badstrand;3.693729;51.553104
5405;VEERSMR;Veerse meer;KAMPLSMN;Kamperland, Schotsman;3.654968;51.580858
5406;VEERSMR;Veerse meer;KANDWCRBTHVN;Kanaal door Walcheren Buitenhaven;3.667204;51.543230
5407;VEERSMR;Veerse meer;KATSBNN;Kats binnen;3.863047;51.544646
5408;VEERSMR;Veerse meer;KATSJVANPDGI;Kats, Jonkvrouw Annapolder glooiing;3.844636;51.551777
5409;VEERSMR;Veerse meer;KORTGNDTNPK;Kortgene Deltonapark;3.820021;51.554597
5410;VEERSMR;Veerse meer;KORTGNE;Kortgene;3.805849;51.547392
5411;VEERSMR;Veerse meer;KORTGNGBKDK;Kortgene, Gebroken Dak;3.836143;51.554263
5412;VEERSMR;Veerse meer;KORTGNLBHVN;Kortgene, Landbouwhaven;3.807798;51.553533
5413;VEERSMR;Veerse meer;KORTGNSPDBSD;Kortgene Schapendijk badstrand;3.833351;51.557022
5414;VEERSMR;Veerse meer;KORTGSOT;Kortenge schor oost;3.812797;51.554949
5415;VEERSMR;Veerse meer;LEWDNSCLPDR;Lewedorp Noord Sloe en de Calandpolder;3.730594;51.515150
5416;VEERSMR;Veerse meer;LEWDVVKK;Lewedorp, Vliegveldkreek;3.725908;51.510102
5417;VEERSMR;Veerse meer;ORJPBSD;Oranjeplaat badstrand;3.707010;51.517690
5418;VEERSMR;Veerse meer;ORJPHVEGL;Oranjeplaat haven en geul;3.700364;51.514267
5419;VEERSMR;Veerse meer;ORJPKK;Oranjeplaatkreek;3.705521;51.511195
5420;VEERSMR;Veerse meer;ORJPSGE;Oranjeplaat, Schenge;3.700340;51.517514
5421;VEERSMR;Veerse meer;OUDSBGMDPTGT;Oud-Sabbinge, Middelplaten, grote Middel;3.765384;51.549805
5422;VEERSMR;Veerse meer;OUDSBGMDPTKN;Oud-Sabbinge, Middelplaten, kleine Midde;3.775442;51.550843
5423;VEERSMR;Veerse meer;OUDSBGMDPTN;Oud-Sabbinge, Middelplaten;3.746487;51.543939
5424;VEERSMR;Veerse meer;OUDSBGMDPTVT;Oud-Sabbinge, Middelplaten, vasteland;3.744023;51.542313
5425;VEERSMR;Veerse meer;OUDSBGSHGDPT;Oud-Sabbinge, Schelphoek, grinddepot;3.789505;51.547170
5426;VEERSMR;Veerse meer;OUDSBGSHK;Oud-Sabbinge, Schelphoek;3.792757;51.542404
5427;VEERSMR;Veerse meer;PIET;De Piet;3.692137;51.522330
5428;VEERSMR;Veerse meer;PIETBSD;De Piet badstrand;3.726536;51.531546
5429;VEERSMR;Veerse meer;PIETHVN;De Piet haven;3.728777;51.525464
5430;VEERSMR;Veerse meer;SCHELPHVSMR;Schelphoek Veerse Meer;3.790796;51.544850
5431;VEERSMR;Veerse meer;SCHOTMRTPSDN;Schotman en Ruiterplaat schor en duin;3.661610;51.586082
5432;VEERSMR;Veerse meer;SCHOTSMCPBSD;Schotsman Campensweg badstrand;3.650177;51.575572
