FID;GEBIED;GEBOMSCH;LOCATIE;LOCOMSCH;X_WGS;Y_WGS;X_RD;Y_RD;Bron
7062;WESTSDE;Westerschelde;BAALHK;Baalhoek;4.102832;51.366979;65541;375998;DONAR_RD
7063;WESTSDE;Westerschelde;BAALHKPDR;Baalhoek, Kruispolder;4.063949;51.360142;62820;375286;DONAR_RD
7064;WESTSDE;Westerschelde;BAARLBKDHVTE;Baarland, Bakendorp haventje;3.907044;51.406931;52000;380700;DONAR_RD
7065;WESTSDE;Westerschelde;BAARLBSD;Baarland badstrand;3.898309;51.395311;51366;379420;DONAR_RD
7066;WESTSDE;Westerschelde;BAARLD;Baarland (strand thv camping);3.895959;51.394202;51200;379300;DONAR_RD
7067;WESTSDE;Westerschelde;BAARLDPL;Baarland drempel;3.900943;51.373586;51500;377000;DONAR_RD
7068;WESTSDE;Westerschelde;BAARLSR;Baarland, schor;3.875161;51.398591;49763;379818;DONAR_RD
7069;WESTSDE;Westerschelde;BAARLUEFBK;Baarland, uienfabriek;3.901592;51.405261;51617;380522;DONAR_RD
7070;WESTSDE;Westerschelde;BAARLZPDR;Baarland, Zuidpolder;3.868599;51.402291;49315;380239;DONAR_RD
7071;WESTSDE;Westerschelde;BANKJVZTLDE;Bankje van Zoutelande;3.481661;51.488872;22650;390500;DONAR_RD
7072;WESTSDE;Westerschelde;BATH;Bath;4.210261;51.400048;73080;379550;DONAR_RD
7073;WESTSDE;Westerschelde;BATH02;Bath, punt 02;4.210348;51.400583;73087;379609;DONAR_RD
7074;WESTSDE;Westerschelde;BATHAPZSR;Bath, Appelzak schor;4.244854;51.378941;75450;377164;DONAR_RD
7075;WESTSDE;Westerschelde;BATHBI68;Bath boei 68;4.207183;51.391251;72850;378575;DONAR_RD
7076;WESTSDE;Westerschelde;BATHBI71;Bath boei 71;4.165687;51.384575;69950;377880;DONAR_RD
7077;WESTSDE;Westerschelde;BATHBSD;Bath badstrand;4.211093;51.401225;73140;379680;DONAR_RD
7078;WESTSDE;Westerschelde;BATHGS;Bath, grens;4.234969;51.392608;74786;378695;DONAR_RD
7079;WESTSDE;Westerschelde;BATHKK;Bath, kreek;4.205896;51.406522;72788;380275;DONAR_RD
7080;WESTSDE;Westerschelde;BATHSKNL;Bath, Spuikanaal;4.231132;51.396589;74526;379142;DONAR_RD
7081;WESTSDE;Westerschelde;BATHSWT;Bath schor west;4.184577;51.403832;71300;380000;DONAR_RD
