FID;GEBIED;GEBOMSCH;LOCATIE;LOCOMSCH;X_WGS;Y_WGS;X_RD;Y_RD;Bron
2608;IJSSL;IJssel;DEVTR;Deventer;6.153795;52.252195;207310;473960;DONAR_RD
2609;IJSSL;IJssel;DIERN;Dieren;6.114185;52.050815;204830;451530;DONAR_RD
2610;IJSSL;IJssel;DOESBBG;Doesburg brug;6.131033;52.020505;206020;448170;DONAR_RD
2611;IJSSL;IJssel;DOESBFTWD;Doesburg Fraterwaard (recreatieplas);6.160133;52.034971;208000;449800;DONAR_RD
2612;IJSSL;IJssel;DOESBG;Doesburg;6.130624;52.013406;206000;447380;DONAR_RD
2613;IJSSL;IJssel;EEFDE;Eefde;6.234517;52.160761;212940;463850;DONAR_RD
2614;IJSSL;IJssel;IJSSKP;IJsselkop;5.952117;51.952281;193800;440470;DONAR_RD
2615;IJSSL;IJssel;KAMPBVHVN;Kampen bovenhaven;5.92395;52.552517;191370;507230;DONAR_RD
2616;IJSSL;IJssel;KAMPN;Kampen;5.918437;52.560002;190990;508060;DONAR_RD
2617;IJSSL;IJssel;KAMPZD;Kampen zuid;5.925869;52.552688;191500;507250;DONAR_RD
2618;IJSSL;IJssel;KATVR;Katerveer;6.058234;52.500419;200530;501510;DONAR_RD
2619;IJSSL;IJssel;KETDLQDA;Keteldiep Linquenda (km 1002.800 lo);5.825456;52.583212;184670;510600;DONAR_RD
2620;IJSSL;IJssel;KETDP;Keteldiep;5.845361;52.581698;186020;510440;DONAR_RD
2621;IJSSL;IJssel;KETELD1002;Keteleiland, kilometer 1002;5.852924;52.62715;186500;515500;DONAR_RD
2622;IJSSL;IJssel;OLST;Olst;6.105021;52.343021;203880;484030;DONAR_RD
2623;IJSSL;IJssel;RHEDLBSSD;Rhederlaag Bahrsestrand (recreatieplas);6.038493;51.98941;199700;444650;DONAR_RD
2624;IJSSL;IJssel;RHEDLGSKP;Rhederlaag Giessekop (recreatieplas);6.059598;51.992798;201146;445040;DONAR_RD
2625;IJSSL;IJssel;SCHERPHF;Scherpenhof (recreatieplas);6.101667;52.298725;203700;479100;DONAR_RD
2626;IJSSL;IJssel;STEEG;De Steeg;6.062804;52.01804;201340;447850;DONAR_RD
2627;IJSSL;IJssel;VEESSBNDN;Veessen beneden;6.077483;52.369154;201976;486919;DONAR_RD
2628;IJSSL;IJssel;VEESSBVN;Veessen boven;6.092123;52.361687;202981;486098;DONAR_RD
2629;IJSSL;IJssel;VEESSDHK;Veessen de Hank;6.092624;52.375635;203000;487650;DONAR_RD
