;NetCDF name;Waterbase name;Waterbase_Code
1;Chlorinity_surface_water;Chloride in mg/l in oppervlaktewater;&wbwns=433%7C
2;concentration_of_chlorophyll_in_water;Chlorofyl-a in uq/l in oppervlaktewater;&wbwns=282%7C
3;concentration_of_suspended_matter_in_water;Zwevende stof in mg/l in oppervlaktewater;&wbwns=410%7C
4;BOD5;Biochemisch zuurstofverbruik over 5 dagen in mg/l in oppervlaktewater;&wbwns=550%7C
5;E;Extinctiecoefficient in /m in oppervlaktewater;&wbwns=713%7C
6;fractional_saturation_of_oxygen_in_water;Percentage zuurstof in % in oppervlaktewater;&wbwns=209%7C
7;KjN;Kjeldahl stikstof in mg/l uitgedrukt in stikstof in oppervlaktewater;&wbwns=332%7C
8;NH4;Ammonium in mg/l uitgedrukt in stikstof / na filtratie in oppervlaktewater;&wbwns=491%7C
9;NO2;Nitriet in mg/l uitgedrukt in stikstof / na filtratie in oppervlaktewater;&wbwns=492%7C
10;NO3;Nitraat in mg/l uitgedrukt in stikstof / na filtratie in oppervlaktewater;&wbwns=493%7C
11;NO3NO2;Som nitraat en nitriet in mg/l uitgedrukt in stikstof in oppervlaktewater;&wbwns=525%7C
12;O2;Zuurstof in mg/l in oppervlaktewater;&wbwns=360%7C
13;pH;Zuurgraad in oppervlaktewater;&wbwns=377%7C
14;PO4;Orthofosfaat in mg/l uitgedrukt in fosfor / na filtratie in oppervlaktewater;&wbwns=380%7C
15;POC;Particulair organisch koolstof in mg/l particulair gebonden in oppervlaktewater;&wbwns=1082%7C
16;sea_water_salinity;Saliniteit in oppervlaktewater;&wbwns=559%7C
17;secchi_depth_in_dm;Doorzicht in dm in oppervlaktewater;&wbwns=541%7C
18;SiO2;Silicaat in mg/l uitgedrukt in silicium / na filtratie in oppervlaktewater;&wbwns=560%7C
19;TOC;Totaal organisch koolstof in mg/l in oppervlaktewater;&wbwns=401%7C
20;TotDissN;Stikstof in mg/l na filtratie in oppervlaktewater;&wbwns=347%7C
21;TotDissP;Totaal fosfaat in mg/l na filtratie in oppervlaktewater;&wbwns=364%7C
22;TotN;Stikstof in mg/l in oppervlaktewater;&wbwns=346%7C
23;TotP;Totaal fosfaat in mg/l oppervlaktewater;&wbwns=363%7C
24;DOC;Opgelost organisch koolstof in mg/l na filtratie in oppervlaktewater;&wbwns=1083%7C
25;TotPpart;Totaal fosfaat in mg/l particulair gebonden in oppervlaktewater;&wbwns=489%7C
26;TotNpart;Stikstof in mg/l particulair gebonden in oppervlaktewater;&wbwns=490%7C
27;Temperature;Temperatuur in oC in oppervlaktewater;&wbwns=44%7C
